benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
USCarrierOSPF_nodeFaults,disabled,Classic Simulator,0,0,0,0,0,0,0,0,0,0,0
USCarrierOSPF_nodeFaults,disabled,New Simulator,0,0,0,0,0,0,0,0,0,0,0
USCarrierOSPF_nodeFaults,disabled,New Simulator,1,0,0,0,0,0,0,0,0,0,0
USCarrierOSPF_nodeFaults,disabled,New Simulator,3,0,0,0,0,0,0,0,0,0,0
USCarrierOSPF_nodeFaults,disabled,New Simulator,6,0,0,0,0,0,0,0,0,0,0
USCarrierOSPF_nodeFaults,WINDOW2,Classic Simulator,0,26148.0,8968.0,587.827969,1344.580006,1944.979009,24.501134,104830628.0,55.4,545.62,7634.384315490723
USCarrierOSPF_nodeFaults,WINDOW2,New Simulator,0,25014.0,8590.0,807.502173,1404.066654,2222.115331,23.946537,119381864.0,67.46,689.2,8079.609962463379
USCarrierOSPF_nodeFaults,WINDOW2,New Simulator,1,12372.0,4376.0,854.984992,1392.809461,2268.615574,50.534939,209081782.0,79.13,597.97,11079.331855773926
USCarrierOSPF_nodeFaults,WINDOW2,New Simulator,3,11532.0,4096.0,803.102338,1574.825449,2400.547877,44.320316,223547170.0,74.93,781.34,11586.827644348145
USCarrierOSPF_nodeFaults,WINDOW2,New Simulator,6,10239.0,3665.0,728.890918,1550.572174,2305.522314,61.998142,246005620.0,73.6,775.95,12285.735145568848
USCarrierOSPF_nodeFaults,WINDOW2_CONV,Classic Simulator,0,26148.0,8968.0,654.363411,1272.455375,1936.957171,17.942027,88897648.0,53.37,568.92,5011.057350158691
USCarrierOSPF_nodeFaults,WINDOW2_CONV,New Simulator,0,25014.0,8590.0,550.490087,1413.106393,1973.829624,18.448019,103907762.0,57.58,705.37,7529.8610916137695
USCarrierOSPF_nodeFaults,WINDOW2_CONV,New Simulator,1,12372.0,4376.0,789.922974,1386.062962,2195.057318,43.578801,185097486.0,51.34,804.72,10202.762886047363
USCarrierOSPF_nodeFaults,WINDOW2_CONV,New Simulator,3,11532.0,4096.0,628.167442,1414.29179,2060.323902,33.768068,164950800.0,51.28,840.86,9496.171119689941
USCarrierOSPF_nodeFaults,WINDOW2_CONV,New Simulator,6,10239.0,3665.0,620.484673,1390.123889,2031.546761,49.366898,220308452.0,50.67,824.21,11315.332557678223
USCarrierOSPF_nodeFaults,WINDOW3,Classic Simulator,0,26148.0,8968.0,217.904574,703.163765,924.167964,5.714924,37725086.0,18.76,459.95,2277.0521926879883
USCarrierOSPF_nodeFaults,WINDOW3,New Simulator,0,25014.0,8590.0,369.200863,801.799422,1176.363548,9.525775,47022220.0,21.0,633.4,3617.124183654785
USCarrierOSPF_nodeFaults,WINDOW3,New Simulator,1,12372.0,4376.0,347.004946,614.50594,978.058465,5.846262,60371584.0,19.62,546.19,4067.2548599243164
USCarrierOSPF_nodeFaults,WINDOW3,New Simulator,3,11532.0,4096.0,431.406528,699.320906,1136.648749,10.844276,51055032.0,21.15,671.79,3742.107276916504
USCarrierOSPF_nodeFaults,WINDOW3,New Simulator,6,10239.0,3665.0,177.275877,1057.852536,1243.901398,16.401729,77409346.0,21.57,747.86,4625.9257888793945
USCarrierOSPF_nodeFaults,WINDOW3_CONV,Classic Simulator,0,26148.0,8968.0,369.234686,464.232822,836.336081,1.312593,24950086.0,13.25,428.24,1857.0723342895508
USCarrierOSPF_nodeFaults,WINDOW3_CONV,New Simulator,0,25014.0,8590.0,430.135416,636.841068,1070.143533,4.904077,27821906.0,13.64,682.4,1952.6135330200195
USCarrierOSPF_nodeFaults,WINDOW3_CONV,New Simulator,1,12372.0,4376.0,564.100849,371.800212,943.551224,2.573009,35519610.0,12.55,635.37,2204.787971496582
USCarrierOSPF_nodeFaults,WINDOW3_CONV,New Simulator,3,11532.0,4096.0,120.847086,642.254869,766.027504,5.026761,37144590.0,10.86,524.66,2234.0499954223633
USCarrierOSPF_nodeFaults,WINDOW3_CONV,New Simulator,6,10239.0,3665.0,649.02781,321.580815,974.910968,7.526029,42215754.0,10.61,711.89,2420.439582824707
