benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
USCarrierOSPF_nodeFaults_bfs,disabled,Classic Simulator,0,26148.0,8968.0,9.343715,23.518767,33.093414,1.353348,17660160.0,1.15,0.0,1103.3779067993164
USCarrierOSPF_nodeFaults_bfs,disabled,New Simulator,0,25014.0,8590.0,10.208451,18.868339,29.337404,0.375487,15246196.0,1.16,0.0,1025.6413955688477
USCarrierOSPF_nodeFaults_bfs,disabled,New Simulator,1,12372.0,4376.0,6.469273,12.313383,19.032925,0.215665,12720834.0,1.06,0.0,938.2636795043945
USCarrierOSPF_nodeFaults_bfs,disabled,New Simulator,3,11532.0,4096.0,7.470538,14.98595,22.722547,0.261639,13716262.0,1.12,0.0,969.2749710083008
USCarrierOSPF_nodeFaults_bfs,disabled,New Simulator,6,10239.0,3665.0,5.688845,11.001445,16.92354,0.117078,12844496.0,1.05,0.0,942.0275650024414
USCarrierOSPF_nodeFaults_bfs,WINDOW2,Classic Simulator,0,26148.0,8968.0,20.919607,37.019698,58.150722,0.086123,5892852.0,3.23,19.09,451.94803619384766
USCarrierOSPF_nodeFaults_bfs,WINDOW2,New Simulator,0,25014.0,8590.0,13.814735,41.643302,55.721301,0.212712,6109516.0,2.99,18.62,461.45133209228516
USCarrierOSPF_nodeFaults_bfs,WINDOW2,New Simulator,1,12372.0,4376.0,11.311323,18.670637,30.22802,0.661689,5838686.0,1.51,9.83,452.5727005004883
USCarrierOSPF_nodeFaults_bfs,WINDOW2,New Simulator,3,11532.0,4096.0,8.958825,23.056195,32.939683,0.069079,6506052.0,1.94,11.39,474.35550689697266
USCarrierOSPF_nodeFaults_bfs,WINDOW2,New Simulator,6,10239.0,3665.0,7.460602,14.93712,22.608677,0.091076,5570922.0,1.45,8.0,313.89124298095703
USCarrierOSPF_nodeFaults_bfs,WINDOW2_CONV,Classic Simulator,0,26148.0,8968.0,21.609886,35.72797,57.552762,0.08412,5890808.0,3.2,18.68,451.7664566040039
USCarrierOSPF_nodeFaults_bfs,WINDOW2_CONV,New Simulator,0,25014.0,8590.0,19.656515,38.897816,58.801957,0.101086,6244420.0,3.24,20.16,464.13675689697266
USCarrierOSPF_nodeFaults_bfs,WINDOW2_CONV,New Simulator,1,12372.0,4376.0,9.025978,21.523031,30.777331,0.164208,5511646.0,1.63,10.66,441.4633255004883
USCarrierOSPF_nodeFaults_bfs,WINDOW2_CONV,New Simulator,3,11532.0,4096.0,9.780276,22.975499,32.956817,0.081409,6275080.0,1.92,12.29,464.0616226196289
USCarrierOSPF_nodeFaults_bfs,WINDOW2_CONV,New Simulator,6,10239.0,3665.0,8.477886,13.558743,22.235708,0.097601,5473832.0,1.4,7.9,311.4976577758789
USCarrierOSPF_nodeFaults_bfs,WINDOW3,Classic Simulator,0,26148.0,8968.0,15.271232,55.15975,70.657918,0.622796,5238772.0,2.53,35.59,304.93631744384766
USCarrierOSPF_nodeFaults_bfs,WINDOW3,New Simulator,0,25014.0,8590.0,18.253462,44.157774,62.603753,0.047345,4742080.0,2.41,33.47,287.0312271118164
USCarrierOSPF_nodeFaults_bfs,WINDOW3,New Simulator,1,12372.0,4376.0,7.893034,32.840832,40.96281,0.613309,5174386.0,1.58,21.71,302.78980255126953
USCarrierOSPF_nodeFaults_bfs,WINDOW3,New Simulator,3,11532.0,4096.0,11.160529,28.083008,39.424398,0.053446,5467700.0,1.53,21.91,310.29080963134766
USCarrierOSPF_nodeFaults_bfs,WINDOW3,New Simulator,6,10239.0,3665.0,7.295395,21.686484,29.186457,0.060471,4778872.0,1.15,15.82,289.2098159790039
USCarrierOSPF_nodeFaults_bfs,WINDOW3_CONV,Classic Simulator,0,26148.0,8968.0,27.357791,47.257178,74.837811,0.18256,5329730.0,2.62,39.04,307.62110137939453
USCarrierOSPF_nodeFaults_bfs,WINDOW3_CONV,New Simulator,0,25014.0,8590.0,24.757535,44.629779,69.600594,0.083518,4983272.0,2.59,38.32,295.4087905883789
USCarrierOSPF_nodeFaults_bfs,WINDOW3_CONV,New Simulator,1,12372.0,4376.0,6.791249,38.839867,45.8746,0.628421,5264322.0,1.54,26.44,305.66016387939453
USCarrierOSPF_nodeFaults_bfs,WINDOW3_CONV,New Simulator,3,11532.0,4096.0,19.720119,30.781814,50.69724,0.065275,5567856.0,1.63,32.01,314.5495376586914
USCarrierOSPF_nodeFaults_bfs,WINDOW3_CONV,New Simulator,6,10239.0,3665.0,25.152106,18.066712,43.389504,0.045846,4520306.0,1.33,29.86,279.97730255126953
