benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
bics_linkFaults,disabled,Classic Simulator,0,4703.0,1653.0,19.117912,41.11,61.161916,3.160696,26387018.0,0.19,0.0,1906.4205703735352
bics_linkFaults,disabled,New Simulator,0,4766.0,1674.0,18.363847,40.52977,59.98039,2.864706,25802434.0,0.2,0.0,1888.9731826782227
bics_linkFaults,disabled,New Simulator,1,3329.0,1195.0,14.151329,30.56595,45.672203,0.902534,16400034.0,0.22,0.0,1062.0195693969727
bics_linkFaults,disabled,New Simulator,3,3140.0,1132.0,12.942333,27.352293,41.152449,1.977725,16451134.0,0.22,0.0,1061.7895278930664
bics_linkFaults,disabled,New Simulator,6,3425.0,1227.0,12.438374,26.43512,39.753116,2.050131,16195634.0,0.23,0.0,1053.9866104125977
bics_linkFaults,WINDOW2,Classic Simulator,0,4734.0,1653.0,30.43512,62.240118,93.689412,0.808277,15554840.0,3.66,9.11,1033.632698059082
bics_linkFaults,WINDOW2,New Simulator,0,4766.0,1674.0,24.893508,58.993891,85.032399,0.894728,14779142.0,3.3,8.24,1008.9781265258789
bics_linkFaults,WINDOW2,New Simulator,1,3329.0,1195.0,18.804297,40.596089,60.37002,1.910794,13400464.0,1.98,4.84,961.6657791137695
bics_linkFaults,WINDOW2,New Simulator,3,3197.0,1151.0,17.141848,38.059593,56.04864,2.044177,13034588.0,2.33,5.61,948.1532669067383
bics_linkFaults,WINDOW2,New Simulator,6,3199.0,1130.0,18.987702,34.633119,54.73284,1.938023,12839386.0,2.47,6.17,941.7723770141602
bics_linkFaults,WINDOW2_CONV,Classic Simulator,0,4707.0,1653.0,28.77039,63.323578,93.065932,0.746009,15951376.0,3.79,9.42,1046.9040603637695
bics_linkFaults,WINDOW2_CONV,New Simulator,0,4766.0,1674.0,27.647089,54.905611,83.636334,2.167725,15019312.0,3.26,8.05,1017.2990798950195
bics_linkFaults,WINDOW2_CONV,New Simulator,1,3206.0,1154.0,18.391798,40.659354,60.002278,1.985849,13269648.0,1.94,4.89,957.3415603637695
bics_linkFaults,WINDOW2_CONV,New Simulator,3,3109.0,1104.0,16.746013,39.953905,57.552012,1.963339,12857782.0,2.34,5.96,942.7737808227539
bics_linkFaults,WINDOW2_CONV,New Simulator,6,3365.0,1207.0,18.290033,31.914502,51.092823,1.941465,13828682.0,1.78,4.36,974.9557266235352
bics_linkFaults,WINDOW3,Classic Simulator,0,4703.0,1653.0,26.614884,53.341442,82.275893,0.618956,15998388.0,3.64,8.65,1048.2229690551758
bics_linkFaults,WINDOW3,New Simulator,0,4766.0,1674.0,28.069867,55.412583,84.612539,0.871676,14850682.0,3.3,8.16,1012.1634902954102
bics_linkFaults,WINDOW3,New Simulator,1,3329.0,1195.0,18.215814,40.686686,59.777342,0.836008,13725460.0,1.94,4.78,971.7361526489258
bics_linkFaults,WINDOW3,New Simulator,3,3396.0,1192.0,18.927751,43.129224,63.146148,2.067149,13343232.0,2.39,6.0,959.9350662231445
bics_linkFaults,WINDOW3,New Simulator,6,3425.0,1227.0,16.486696,32.853587,50.223352,2.080188,13197086.0,1.82,4.53,952.5839614868164
bics_linkFaults,WINDOW3_CONV,Classic Simulator,0,4703.0,1653.0,26.86467,53.113601,82.348429,0.623858,16043356.0,3.65,8.77,1049.5966262817383
bics_linkFaults,WINDOW3_CONV,New Simulator,0,4766.0,1674.0,26.214898,53.836965,80.945309,2.13647,15560972.0,3.27,8.04,1034.8688430786133
bics_linkFaults,WINDOW3_CONV,New Simulator,1,3329.0,1195.0,18.935307,40.217301,60.116988,1.990639,13353452.0,1.98,4.94,960.1671829223633
bics_linkFaults,WINDOW3_CONV,New Simulator,3,3145.0,1131.0,21.125414,36.359603,58.568635,1.92111,12874134.0,2.36,5.85,943.3162612915039
bics_linkFaults,WINDOW3_CONV,New Simulator,6,3378.0,1209.0,16.170588,33.887329,51.022578,1.947426,13739768.0,1.73,4.37,972.208381652832
