benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
bics_linkFaults_bfs,disabled,Classic Simulator,0,4703.0,1653.0,3.823344,8.628926,12.598735,0.053659,9060030.0,0.18,0.0,560.1410903930664
bics_linkFaults_bfs,disabled,New Simulator,0,4766.0,1674.0,4.042742,8.77292,12.954285,0.054322,9456566.0,0.19,0.0,573.0140151977539
bics_linkFaults_bfs,disabled,New Simulator,1,3329.0,1195.0,3.087209,6.670374,9.892931,0.056072,7263354.0,0.19,0.0,499.07755279541016
bics_linkFaults_bfs,disabled,New Simulator,3,3140.0,1132.0,3.085695,6.325954,9.570856,0.056344,6714540.0,0.19,0.0,481.5001907348633
bics_linkFaults_bfs,disabled,New Simulator,6,3425.0,1227.0,2.973181,6.014007,9.126618,0.053235,6424292.0,0.2,0.0,472.1377639770508
bics_linkFaults_bfs,WINDOW2,Classic Simulator,0,4703.0,1653.0,6.183581,11.104348,17.731684,0.038745,4084934.0,1.3,2.51,266.0142593383789
bics_linkFaults_bfs,WINDOW2,New Simulator,0,4766.0,1674.0,5.938891,13.39722,19.495158,0.058341,4091066.0,1.34,2.65,266.75626373291016
bics_linkFaults_bfs,WINDOW2,New Simulator,1,3495.0,1228.0,4.294838,10.416918,14.874136,0.059247,4116616.0,1.05,1.94,267.43518829345703
bics_linkFaults_bfs,WINDOW2,New Simulator,3,3213.0,1132.0,4.048317,8.826223,13.030047,0.054193,4371094.0,0.95,1.8,276.2400894165039
bics_linkFaults_bfs,WINDOW2,New Simulator,6,3229.0,1142.0,3.38988,7.485738,11.005505,0.048939,3758916.0,0.78,1.45,255.14899444580078
bics_linkFaults_bfs,WINDOW2_CONV,Classic Simulator,0,4736.0,1653.0,6.13906,12.872256,19.161926,0.053418,4053252.0,1.27,2.65,265.4585647583008
bics_linkFaults_bfs,WINDOW2_CONV,New Simulator,0,4766.0,1674.0,6.664641,12.662009,19.48659,0.059444,4047120.0,1.31,2.67,264.66382598876953
bics_linkFaults_bfs,WINDOW2_CONV,New Simulator,1,3333.0,1195.0,4.623922,9.005481,13.780731,0.052579,4052230.0,1.0,1.86,265.4429702758789
bics_linkFaults_bfs,WINDOW2_CONV,New Simulator,3,3140.0,1132.0,3.68338,8.8185,12.647556,0.050762,4328170.0,0.9,1.81,274.77262115478516
bics_linkFaults_bfs,WINDOW2_CONV,New Simulator,6,3176.0,1132.0,3.597442,7.672412,11.399206,0.071614,3940832.0,0.79,1.44,260.94434356689453
bics_linkFaults_bfs,WINDOW3,Classic Simulator,0,4703.0,1653.0,6.259004,13.026349,19.436339,0.053122,4106396.0,1.33,2.78,266.5819778442383
bics_linkFaults_bfs,WINDOW3,New Simulator,0,4766.0,1674.0,5.94956,13.319595,19.427643,0.057281,4075736.0,1.34,2.65,266.28797149658203
bics_linkFaults_bfs,WINDOW3,New Simulator,1,3329.0,1195.0,4.313694,9.534058,13.998773,0.051563,4089022.0,1.03,1.94,266.5766372680664
bics_linkFaults_bfs,WINDOW3,New Simulator,3,3140.0,1132.0,4.119039,8.457859,12.72291,0.050893,4308752.0,0.92,1.8,274.14429473876953
bics_linkFaults_bfs,WINDOW3,New Simulator,6,3084.0,1112.0,3.851679,7.735481,11.740365,0.055502,4169760.0,0.82,1.84,269.64453887939453
bics_linkFaults_bfs,WINDOW3_CONV,Classic Simulator,0,4703.0,1653.0,5.898786,11.343172,17.703299,0.039409,4030768.0,1.31,2.51,264.29712677001953
bics_linkFaults_bfs,WINDOW3_CONV,New Simulator,0,4766.0,1674.0,6.545455,12.840065,19.548116,0.06003,4032812.0,1.36,2.67,263.9767532348633
bics_linkFaults_bfs,WINDOW3_CONV,New Simulator,1,3427.0,1219.0,4.734537,9.041599,13.946062,0.059312,3986822.0,0.98,1.81,263.3960952758789
bics_linkFaults_bfs,WINDOW3_CONV,New Simulator,3,3312.0,1185.0,4.231137,8.533472,12.919411,0.055904,4278092.0,0.93,1.81,273.2077102661133
bics_linkFaults_bfs,WINDOW3_CONV,New Simulator,6,3430.0,1226.0,3.960065,8.964497,13.075252,0.052404,4381314.0,0.98,1.83,276.51712799072266
