benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
bics_nodeFaults_bfs,disabled,Classic Simulator,0,1478.0,578.0,0.004422,0.006752,0.013428,0.00132,25550.0,0.0,0.0,10.964790344238281
bics_nodeFaults_bfs,disabled,New Simulator,0,1391.0,549.0,0.004441,0.006778,0.013453,0.001259,26572.0,0.0,0.0,11.001869201660156
bics_nodeFaults_bfs,disabled,New Simulator,1,836.0,364.0,0.003932,0.005595,0.011451,0.001238,23506.0,0.0,0.0,10.900398254394531
bics_nodeFaults_bfs,disabled,New Simulator,3,773.0,343.0,0.003784,0.005596,0.011296,0.00125,23506.0,0.0,0.0,10.898445129394531
bics_nodeFaults_bfs,disabled,New Simulator,6,794.0,350.0,0.003872,0.005648,0.011443,0.001249,23506.0,0.0,0.0,10.898445129394531
bics_nodeFaults_bfs,WINDOW2,Classic Simulator,0,1478.0,578.0,0.012377,0.032748,0.050558,0.000937,18396.0,0.0,0.03,10.734535217285156
bics_nodeFaults_bfs,WINDOW2,New Simulator,0,1391.0,549.0,0.031252,0.018356,0.051571,0.001074,17374.0,0.0,0.02,10.703315734863281
bics_nodeFaults_bfs,WINDOW2,New Simulator,1,836.0,364.0,0.023584,0.018996,0.044259,0.001053,16352.0,0.0,0.03,10.672096252441406
bics_nodeFaults_bfs,WINDOW2,New Simulator,3,773.0,343.0,0.011306,0.028641,0.04516,0.000931,17374.0,0.0,0.03,10.703315734863281
bics_nodeFaults_bfs,WINDOW2,New Simulator,6,794.0,350.0,0.034878,0.005394,0.045532,0.000952,17374.0,0.0,0.03,10.703315734863281
bics_nodeFaults_bfs,WINDOW2_CONV,Classic Simulator,0,1478.0,578.0,0.012763,0.033095,0.051547,0.000946,18396.0,0.0,0.03,10.734535217285156
bics_nodeFaults_bfs,WINDOW2_CONV,New Simulator,0,1391.0,549.0,0.039217,0.011435,0.052607,0.001079,17374.0,0.0,0.03,10.703315734863281
bics_nodeFaults_bfs,WINDOW2_CONV,New Simulator,1,836.0,364.0,0.021551,0.022977,0.046144,0.001099,17374.0,0.0,0.03,10.703315734863281
bics_nodeFaults_bfs,WINDOW2_CONV,New Simulator,3,773.0,343.0,0.011064,0.02827,0.044483,0.000945,17374.0,0.0,0.03,10.703315734863281
bics_nodeFaults_bfs,WINDOW2_CONV,New Simulator,6,794.0,350.0,0.034625,0.005447,0.045311,0.000933,17374.0,0.0,0.03,10.703315734863281
bics_nodeFaults_bfs,WINDOW3,Classic Simulator,0,1478.0,578.0,0.016021,0.0299,0.051367,0.000953,18396.0,0.0,0.05,10.734535217285156
bics_nodeFaults_bfs,WINDOW3,New Simulator,0,1391.0,549.0,0.031923,0.018533,0.052402,0.00106,17374.0,0.01,0.05,10.703315734863281
bics_nodeFaults_bfs,WINDOW3,New Simulator,1,836.0,364.0,0.025257,0.019473,0.046385,0.001073,16352.0,0.0,0.03,10.672096252441406
bics_nodeFaults_bfs,WINDOW3,New Simulator,3,779.0,345.0,0.014518,0.024842,0.044352,0.000969,16352.0,0.0,0.02,10.672096252441406
bics_nodeFaults_bfs,WINDOW3,New Simulator,6,794.0,350.0,0.034881,0.005524,0.04567,0.000936,17374.0,0.0,0.04,10.703315734863281
bics_nodeFaults_bfs,WINDOW3_CONV,Classic Simulator,0,1478.0,578.0,0.012639,0.032904,0.051163,0.000954,18396.0,0.0,0.02,10.734535217285156
bics_nodeFaults_bfs,WINDOW3_CONV,New Simulator,0,1391.0,549.0,0.032051,0.01844,0.052443,0.001073,17374.0,0.0,0.05,10.703315734863281
bics_nodeFaults_bfs,WINDOW3_CONV,New Simulator,1,836.0,364.0,0.026731,0.015765,0.044127,0.001046,17374.0,0.0,0.03,10.703315734863281
bics_nodeFaults_bfs,WINDOW3_CONV,New Simulator,3,773.0,343.0,0.010896,0.028825,0.044937,0.000942,17374.0,0.0,0.03,10.703315734863281
bics_nodeFaults_bfs,WINDOW3_CONV,New Simulator,6,794.0,350.0,0.034992,0.005425,0.045789,0.000923,17374.0,0.0,0.02,10.703315734863281
