benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
columbus_linkFaults_bfs,disabled,Classic Simulator,0,11737.0,4047.0,7.850595,15.712325,23.96231,0.513801,18246788.0,0.16,0.0,1124.3541946411133
columbus_linkFaults_bfs,disabled,New Simulator,0,12091.0,4165.0,8.023764,15.957329,24.566919,1.243759,18619818.0,0.17,0.0,1136.2688369750977
columbus_linkFaults_bfs,disabled,New Simulator,1,6556.0,2320.0,5.256882,10.369953,15.894535,0.331903,10778012.0,0.18,0.0,617.0010452270508
columbus_linkFaults_bfs,disabled,New Simulator,3,6391.0,2265.0,5.345213,11.330541,16.934138,0.925611,10945620.0,0.19,0.0,623.0038528442383
columbus_linkFaults_bfs,disabled,New Simulator,6,5152.0,1852.0,4.76442,9.335487,14.351012,0.893222,10790276.0,0.18,0.0,618.5670852661133
columbus_linkFaults_bfs,WINDOW2,Classic Simulator,0,11749.0,4051.0,12.55575,26.902472,39.762219,0.270391,6002206.0,2.24,4.99,458.6592788696289
columbus_linkFaults_bfs,WINDOW2,New Simulator,0,12091.0,4165.0,14.989351,25.955985,41.24047,0.257653,5982788.0,2.39,5.42,458.1872024536133
columbus_linkFaults_bfs,WINDOW2,New Simulator,1,7143.0,2511.0,8.55736,19.638047,28.484191,0.179605,6276102.0,1.53,3.3,467.0553970336914
columbus_linkFaults_bfs,WINDOW2,New Simulator,3,6559.0,2321.0,8.852346,17.829318,26.974224,0.179937,6089076.0,1.41,3.04,460.7621536254883
columbus_linkFaults_bfs,WINDOW2,New Simulator,6,5485.0,1963.0,7.526366,14.794229,22.553626,0.155458,6086010.0,1.5,3.18,461.59427642822266
columbus_linkFaults_bfs,WINDOW2_CONV,Classic Simulator,0,11776.0,4060.0,12.41578,27.389124,40.118977,0.284443,6008338.0,2.21,4.91,458.87003326416016
columbus_linkFaults_bfs,WINDOW2_CONV,New Simulator,0,12093.0,4165.0,14.291644,26.590275,41.171732,0.174875,6028778.0,2.39,5.45,459.60770416259766
columbus_linkFaults_bfs,WINDOW2_CONV,New Simulator,1,6691.0,2365.0,9.163734,15.403012,24.822373,0.705145,5987898.0,1.34,2.75,457.42728424072266
columbus_linkFaults_bfs,WINDOW2_CONV,New Simulator,3,6143.0,2182.0,8.433956,14.852313,23.549883,0.161202,6005272.0,1.42,2.99,458.24903106689453
columbus_linkFaults_bfs,WINDOW2_CONV,New Simulator,6,5152.0,1852.0,5.713245,13.921608,19.988466,0.264744,5661880.0,1.18,2.43,447.17139434814453
columbus_linkFaults_bfs,WINDOW3,Classic Simulator,0,11759.0,4047.0,13.064347,26.560088,39.928394,0.281136,6008338.0,2.2,4.95,458.73331451416016
columbus_linkFaults_bfs,WINDOW3,New Simulator,0,12091.0,4165.0,15.4047,25.141382,40.837788,0.178676,5984832.0,2.33,5.31,458.25745391845703
columbus_linkFaults_bfs,WINDOW3,New Simulator,1,6775.0,2393.0,7.262336,16.181857,23.707489,0.326498,5737508.0,1.28,2.62,321.2042922973633
columbus_linkFaults_bfs,WINDOW3,New Simulator,3,6128.0,2176.0,8.623401,15.232096,24.119404,0.161472,6001184.0,1.43,3.04,458.24134063720703
columbus_linkFaults_bfs,WINDOW3,New Simulator,6,5601.0,1991.0,7.55796,15.709484,23.552079,0.16824,6203540.0,1.47,3.17,464.4813919067383
columbus_linkFaults_bfs,WINDOW3_CONV,Classic Simulator,0,11737.0,4047.0,14.300945,24.614675,39.213591,0.271096,5998118.0,2.18,4.95,458.5344009399414
columbus_linkFaults_bfs,WINDOW3_CONV,New Simulator,0,12091.0,4165.0,13.252687,27.228212,40.773783,0.176299,5988920.0,2.33,5.29,458.38233184814453
columbus_linkFaults_bfs,WINDOW3_CONV,New Simulator,1,6544.0,2296.0,7.61413,15.987566,24.28115,0.14562,6016514.0,1.42,3.01,458.63346099853516
columbus_linkFaults_bfs,WINDOW3_CONV,New Simulator,3,6819.0,2395.0,8.482416,17.100511,25.891667,0.286713,5873434.0,1.38,3.02,453.99124908447266
columbus_linkFaults_bfs,WINDOW3_CONV,New Simulator,6,5863.0,2087.0,7.799116,15.986549,24.095133,0.195905,5904094.0,1.38,2.99,454.9825210571289
