benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
columbus_nodeFaults,disabled,Classic Simulator,0,5542.0,1982.0,1.035528,2.116682,3.489844,0.189037,3001614.0,0.16,0.0,230.67704010009766
columbus_nodeFaults,disabled,New Simulator,0,6214.0,2206.0,1.244482,2.724122,4.101413,0.20377,3052714.0,0.19,0.0,231.9391860961914
columbus_nodeFaults,disabled,New Simulator,1,3943.0,1449.0,0.980367,1.923406,3.051117,0.490864,2883062.0,0.0,0.0,226.49112701416016
columbus_nodeFaults,disabled,New Simulator,3,3796.0,1400.0,0.957669,1.95152,3.145668,0.264898,2752246.0,0.0,0.0,222.43253326416016
columbus_nodeFaults,disabled,New Simulator,6,3325.0,1243.0,0.738368,1.473551,2.380905,0.274352,2349578.0,0.0,0.0,144.1633071899414
columbus_nodeFaults,WINDOW2,Classic Simulator,0,5542.0,1982.0,1.509521,2.908307,4.558162,0.210258,1659728.0,0.26,0.72,121.25031280517578
columbus_nodeFaults,WINDOW2,New Simulator,0,6265.0,2223.0,1.563829,3.305136,5.096643,0.181457,1906030.0,0.29,0.76,129.46170806884766
columbus_nodeFaults,WINDOW2,New Simulator,1,3943.0,1449.0,1.197742,2.240338,3.572543,0.238894,1878436.0,0.16,0.51,128.36682891845703
columbus_nodeFaults,WINDOW2,New Simulator,3,3838.0,1413.0,1.032542,2.455381,3.628596,0.215516,1645420.0,0.18,0.54,120.78589630126953
columbus_nodeFaults,WINDOW2,New Simulator,6,3768.0,1383.0,1.112438,2.248226,3.50517,0.213081,1673014.0,0.16,0.51,121.82804107666016
columbus_nodeFaults,WINDOW2_CONV,Classic Simulator,0,5542.0,1982.0,1.5483,2.710965,4.386508,0.204063,1703674.0,0.25,0.76,122.7099380493164
columbus_nodeFaults,WINDOW2_CONV,New Simulator,0,6214.0,2206.0,1.856286,3.349853,5.332293,0.206791,1873326.0,0.32,0.83,128.43143463134766
columbus_nodeFaults,WINDOW2_CONV,New Simulator,1,3943.0,1449.0,1.080538,2.310567,3.525139,0.237711,1902964.0,0.15,0.47,129.11804962158203
columbus_nodeFaults,WINDOW2_CONV,New Simulator,3,3622.0,1342.0,1.028676,2.380667,3.530432,0.198877,1731268.0,0.21,0.6,123.54309844970703
columbus_nodeFaults,WINDOW2_CONV,New Simulator,6,3163.0,1189.0,0.832031,1.357822,2.358506,0.214268,1565704.0,0.12,0.37,118.31171417236328
columbus_nodeFaults,WINDOW3,Classic Simulator,0,5542.0,1982.0,1.446691,2.567434,4.135532,0.196948,1723092.0,0.22,0.72,123.46717071533203
columbus_nodeFaults,WINDOW3,New Simulator,0,6214.0,2206.0,1.711705,3.146404,5.086805,0.175148,1905008.0,0.29,0.75,129.41291046142578
columbus_nodeFaults,WINDOW3,New Simulator,1,3802.0,1402.0,0.918414,2.28813,3.338653,0.220982,1875370.0,0.18,0.47,128.2555923461914
columbus_nodeFaults,WINDOW3,New Simulator,3,3796.0,1400.0,1.197924,2.596986,3.936731,0.20669,1673014.0,0.18,0.56,121.69522857666016
columbus_nodeFaults,WINDOW3,New Simulator,6,3325.0,1243.0,0.930643,1.43951,2.607912,0.176608,1609650.0,0.15,0.46,119.6912612915039
columbus_nodeFaults,WINDOW3_CONV,Classic Simulator,0,5611.0,2005.0,1.389405,2.601305,4.126632,0.213502,1634178.0,0.24,0.64,120.4581069946289
columbus_nodeFaults,WINDOW3_CONV,New Simulator,0,6214.0,2206.0,1.50157,3.258091,5.0153,0.177607,1933624.0,0.28,0.83,130.28705596923828
columbus_nodeFaults,WINDOW3_CONV,New Simulator,1,3955.0,1453.0,1.174475,2.194435,3.501313,0.239223,1878436.0,0.16,0.5,128.36682891845703
columbus_nodeFaults,WINDOW3_CONV,New Simulator,3,3826.0,1407.0,1.203232,2.60364,3.95534,0.201147,1642354.0,0.22,0.58,120.6922378540039
columbus_nodeFaults,WINDOW3_CONV,New Simulator,6,3607.0,1337.0,0.877676,2.050814,3.070038,0.205725,1421602.0,0.19,0.54,113.6988296508789
