benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
columbus_nodeFaults_bfs,disabled,Classic Simulator,0,5542.0,1982.0,0.126325,0.222728,0.366311,0.011196,457856.0,0.0,0.0,33.28424835205078
columbus_nodeFaults_bfs,disabled,New Simulator,0,6214.0,2206.0,0.129086,0.217384,0.363671,0.01043,533484.0,0.0,0.0,35.80542755126953
columbus_nodeFaults_bfs,disabled,New Simulator,1,3943.0,1449.0,0.076967,0.134451,0.226796,0.011461,350546.0,0.0,0.0,29.803077697753906
columbus_nodeFaults_bfs,disabled,New Simulator,3,3796.0,1400.0,0.069978,0.148478,0.234766,0.010426,346458.0,0.0,0.0,29.709449768066406
columbus_nodeFaults_bfs,disabled,New Simulator,6,3325.0,1243.0,0.055887,0.115006,0.184234,0.018958,319886.0,0.0,0.0,20.718055725097656
columbus_nodeFaults_bfs,WINDOW2,Classic Simulator,0,5542.0,1982.0,0.160838,0.229194,0.401899,0.009687,199290.0,0.01,0.12,16.766578674316406
columbus_nodeFaults_bfs,WINDOW2,New Simulator,0,6232.0,2212.0,0.180589,0.299018,0.491815,0.008362,216664.0,0.01,0.15,17.36762237548828
columbus_nodeFaults_bfs,WINDOW2,New Simulator,1,3943.0,1449.0,0.132804,0.175405,0.319092,0.008809,189070.0,0.02,0.08,16.397743225097656
columbus_nodeFaults_bfs,WINDOW2,New Simulator,3,3778.0,1394.0,0.1375,0.199041,0.3475,0.008707,204400.0,0.01,0.11,16.93830108642578
columbus_nodeFaults_bfs,WINDOW2,New Simulator,6,3325.0,1243.0,0.136463,0.138022,0.285505,0.010243,183960.0,0.0,0.1,16.23578643798828
columbus_nodeFaults_bfs,WINDOW2_CONV,Classic Simulator,0,5542.0,1982.0,0.140914,0.255047,0.408165,0.009384,198268.0,0.0,0.13,16.73535919189453
columbus_nodeFaults_bfs,WINDOW2_CONV,New Simulator,0,6220.0,2208.0,0.163836,0.32375,0.499955,0.00817,216664.0,0.01,0.13,17.36762237548828
columbus_nodeFaults_bfs,WINDOW2_CONV,New Simulator,1,4018.0,1474.0,0.130281,0.188087,0.329478,0.008658,189070.0,0.01,0.09,16.419227600097656
columbus_nodeFaults_bfs,WINDOW2_CONV,New Simulator,3,3796.0,1400.0,0.116968,0.235407,0.36388,0.008172,204400.0,0.03,0.1,16.93244171142578
columbus_nodeFaults_bfs,WINDOW2_CONV,New Simulator,6,3325.0,1243.0,0.099285,0.163532,0.273439,0.010388,178850.0,0.01,0.08,16.064064025878906
columbus_nodeFaults_bfs,WINDOW3,Classic Simulator,0,5542.0,1982.0,0.169551,0.204844,0.385896,0.009787,194180.0,0.02,0.11,16.63391876220703
columbus_nodeFaults_bfs,WINDOW3,New Simulator,0,6214.0,2206.0,0.201753,0.280992,0.495024,0.008284,217686.0,0.01,0.14,17.398841857910156
columbus_nodeFaults_bfs,WINDOW3,New Simulator,1,3943.0,1449.0,0.126011,0.184254,0.321167,0.008493,189070.0,0.01,0.11,16.423133850097656
columbus_nodeFaults_bfs,WINDOW3,New Simulator,3,3796.0,1400.0,0.107211,0.21881,0.336823,0.008629,204400.0,0.0,0.1,16.91681671142578
columbus_nodeFaults_bfs,WINDOW3,New Simulator,6,3325.0,1243.0,0.111596,0.14997,0.272126,0.009673,178850.0,0.0,0.11,16.064064025878906
columbus_nodeFaults_bfs,WINDOW3_CONV,Classic Simulator,0,5602.0,2002.0,0.130535,0.250536,0.39275,0.009709,196224.0,0.02,0.12,16.69635772705078
columbus_nodeFaults_bfs,WINDOW3_CONV,New Simulator,0,6214.0,2206.0,0.169818,0.310068,0.491966,0.008318,216664.0,0.01,0.15,17.36762237548828
columbus_nodeFaults_bfs,WINDOW3_CONV,New Simulator,1,3943.0,1449.0,0.123796,0.195945,0.330652,0.008766,189070.0,0.01,0.11,16.423133850097656
columbus_nodeFaults_bfs,WINDOW3_CONV,New Simulator,3,3697.0,1366.0,0.117437,0.195433,0.323423,0.008015,203378.0,0.02,0.09,16.901222229003906
columbus_nodeFaults_bfs,WINDOW3_CONV,New Simulator,6,3325.0,1243.0,0.095892,0.157159,0.263235,0.010102,179872.0,0.0,0.09,16.08747100830078
