benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
fat6_nodeFaults,disabled,Classic Simulator,0,1962.0,798.0,0.36391,0.627248,1.068619,0.170002,1200850.0,0.0,0.0,74.1183853149414
fat6_nodeFaults,disabled,New Simulator,0,2655.0,1029.0,1.098819,1.751506,2.953607,0.168596,2257598.0,0.0,0.0,141.21573638916016
fat6_nodeFaults,disabled,New Simulator,1,2508.0,980.0,0.983597,1.398591,2.506224,0.162593,2084880.0,0.0,0.0,135.92401885986328
fat6_nodeFaults,disabled,New Simulator,3,3204.0,1212.0,1.176141,1.885442,3.241531,0.214637,2580550.0,0.0,0.0,216.98343658447266
fat6_nodeFaults,disabled,New Simulator,6,3174.0,1202.0,1.032441,1.533234,2.702515,0.246733,2324028.0,0.0,0.0,143.51844024658203
fat6_nodeFaults,WINDOW2,Classic Simulator,0,1962.0,798.0,0.394185,0.725684,1.224707,0.147257,854392.0,0.05,0.2,62.73810577392578
fat6_nodeFaults,WINDOW2,New Simulator,0,2655.0,1029.0,1.290003,2.152057,3.573962,0.181163,1754774.0,0.13,0.44,124.97684478759766
fat6_nodeFaults,WINDOW2,New Simulator,1,2508.0,980.0,0.979093,1.740585,2.807325,0.174345,1344952.0,0.1,0.39,78.70392608642578
fat6_nodeFaults,WINDOW2,New Simulator,3,3204.0,1212.0,1.511594,2.258793,3.884741,0.178804,1417514.0,0.15,0.59,113.3560562133789
fat6_nodeFaults,WINDOW2,New Simulator,6,3174.0,1202.0,1.155061,2.013117,3.272869,0.142004,1185520.0,0.15,0.54,73.54267120361328
fat6_nodeFaults,WINDOW2_CONV,Classic Simulator,0,1962.0,798.0,0.395247,0.725827,1.226625,0.147883,854392.0,0.05,0.19,62.73810577392578
fat6_nodeFaults,WINDOW2_CONV,New Simulator,0,2655.0,1029.0,1.303238,2.155793,3.591807,0.183703,1753752.0,0.13,0.42,124.94562530517578
fat6_nodeFaults,WINDOW2_CONV,New Simulator,1,2508.0,980.0,1.050395,1.657675,2.796995,0.166101,1349040.0,0.11,0.4,78.95380401611328
fat6_nodeFaults,WINDOW2_CONV,New Simulator,3,3204.0,1212.0,1.520686,2.265366,3.900823,0.173232,1417514.0,0.16,0.62,113.3560562133789
fat6_nodeFaults,WINDOW2_CONV,New Simulator,6,3174.0,1202.0,1.168973,2.028867,3.303327,0.141185,1185520.0,0.13,0.5,73.54267120361328
fat6_nodeFaults,WINDOW3,Classic Simulator,0,1962.0,798.0,0.388769,0.719053,1.212152,0.145504,854392.0,0.06,0.21,62.73810577392578
fat6_nodeFaults,WINDOW3,New Simulator,0,2655.0,1029.0,1.300088,2.142449,3.574911,0.182056,1753752.0,0.13,0.4,124.94562530517578
fat6_nodeFaults,WINDOW3,New Simulator,1,2508.0,980.0,0.977081,1.735282,2.799986,0.169366,1344952.0,0.11,0.41,78.70392608642578
fat6_nodeFaults,WINDOW3,New Simulator,3,3204.0,1212.0,1.513082,2.262947,3.890848,0.17422,1417514.0,0.18,0.59,113.3560562133789
fat6_nodeFaults,WINDOW3,New Simulator,6,3174.0,1202.0,1.166621,2.030036,3.302289,0.141906,1185520.0,0.11,0.5,73.54267120361328
fat6_nodeFaults,WINDOW3_CONV,Classic Simulator,0,1962.0,798.0,0.389225,0.72312,1.216849,0.146141,854392.0,0.05,0.2,62.73810577392578
fat6_nodeFaults,WINDOW3_CONV,New Simulator,0,2655.0,1029.0,1.302798,2.150402,3.587615,0.178456,1753752.0,0.13,0.42,124.94562530517578
fat6_nodeFaults,WINDOW3_CONV,New Simulator,1,2508.0,980.0,0.979448,1.740141,2.807483,0.169783,1344952.0,0.12,0.45,78.70392608642578
fat6_nodeFaults,WINDOW3_CONV,New Simulator,3,3204.0,1212.0,1.501062,2.246683,3.862516,0.174643,1417514.0,0.18,0.58,113.3560562133789
fat6_nodeFaults,WINDOW3_CONV,New Simulator,6,3174.0,1202.0,1.167206,2.029009,3.301834,0.141668,1185520.0,0.15,0.53,73.54267120361328
