benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
fat8_nodeFaults_bfs,disabled,Classic Simulator,0,4772.0,1932.0,32.929287,92.225226,132.250888,9.247507,49124474.0,8.21,0.0,3688.7236099243164
fat8_nodeFaults_bfs,disabled,New Simulator,0,6500.0,2508.0,340.524705,916.520613,1274.803753,13.514379,313320672.0,73.59,0.0,14522.1431350708
fat8_nodeFaults_bfs,disabled,New Simulator,1,5099.0,2041.0,222.876859,680.315277,917.631643,12.859583,255553144.0,61.58,0.0,12612.657173156738
fat8_nodeFaults_bfs,disabled,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_bfs,disabled,New Simulator,6,8171.0,3065.0,612.359193,1682.442545,2339.283605,9.130224,350776972.0,129.07,0.0,15778.76099395752
fat8_nodeFaults_bfs,WINDOW2,Classic Simulator,0,4772.0,1932.0,38.91316,98.027708,140.88746,14.271682,48753488.0,6.34,16.02,3673.418281555176
fat8_nodeFaults_bfs,WINDOW2,New Simulator,0,6500.0,2508.0,319.841103,1046.122031,1383.390061,13.335779,252076300.0,92.32,150.05,12456.02857208252
fat8_nodeFaults_bfs,WINDOW2,New Simulator,1,5099.0,2041.0,230.130393,761.028019,1006.397669,13.191537,232213730.0,63.21,140.88,11819.561134338379
fat8_nodeFaults_bfs,WINDOW2,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_bfs,WINDOW2,New Simulator,6,8171.0,3065.0,619.781728,1818.226904,2456.573479,13.503396,329161672.0,154.48,207.59,15102.455268859863
fat8_nodeFaults_bfs,WINDOW2_CONV,Classic Simulator,0,4772.0,1932.0,39.0291,98.180916,141.184176,14.29743,48753488.0,6.31,16.06,3673.418281555176
fat8_nodeFaults_bfs,WINDOW2_CONV,New Simulator,0,6500.0,2508.0,320.760952,1045.8689,1384.030139,13.402669,252076300.0,92.57,150.06,12456.02857208252
fat8_nodeFaults_bfs,WINDOW2_CONV,New Simulator,1,5099.0,2041.0,256.285137,760.017396,1027.714215,11.405937,208808908.0,89.16,109.28,11054.22876739502
fat8_nodeFaults_bfs,WINDOW2_CONV,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_bfs,WINDOW2_CONV,New Simulator,6,8171.0,3065.0,548.31686,1874.140205,2468.307784,9.133156,344923978.0,146.94,205.67,15583.957252502441
fat8_nodeFaults_bfs,WINDOW3,Classic Simulator,0,4772.0,1932.0,38.882782,98.269337,141.102043,14.396818,48753488.0,6.37,16.0,3673.418281555176
fat8_nodeFaults_bfs,WINDOW3,New Simulator,0,6500.0,2508.0,326.729359,1062.841641,1407.024648,13.318581,252056882.0,93.79,153.4,12455.435401916504
fat8_nodeFaults_bfs,WINDOW3,New Simulator,1,5099.0,2041.0,292.732316,689.03933,1010.284923,9.130161,207206412.0,81.02,106.41,11005.27661895752
fat8_nodeFaults_bfs,WINDOW3,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_bfs,WINDOW3,New Simulator,6,8174.0,3066.0,613.24033,1797.536512,2429.165038,13.471147,329070714.0,155.52,204.42,15099.676734924316
fat8_nodeFaults_bfs,WINDOW3_CONV,Classic Simulator,0,4772.0,1932.0,38.957272,97.896134,140.797641,14.512485,48753488.0,6.39,16.17,3673.418281555176
fat8_nodeFaults_bfs,WINDOW3_CONV,New Simulator,0,6500.0,2508.0,319.711122,1041.858099,1378.906027,13.265384,252076300.0,91.62,149.9,12456.02857208252
fat8_nodeFaults_bfs,WINDOW3_CONV,New Simulator,1,5099.0,2041.0,301.679944,673.921485,1001.984499,9.05753,207206412.0,78.36,105.21,11005.27661895752
fat8_nodeFaults_bfs,WINDOW3_CONV,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_bfs,WINDOW3_CONV,New Simulator,6,8171.0,3065.0,553.436862,1857.409215,2455.686121,9.100575,344923978.0,145.66,203.82,15583.957252502441
