benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
fat8_nodeFaults_fat,disabled,Classic Simulator,0,4772.0,1932.0,13.534122,26.13052,41.80398,2.003076,9925664.0,1.51,0.0,588.7769241333008
fat8_nodeFaults_fat,disabled,New Simulator,0,6500.0,2508.0,516.672349,955.46485,1491.872438,2.140512,165259444.0,61.32,0.0,9565.107307434082
fat8_nodeFaults_fat,disabled,New Simulator,1,5099.0,2041.0,723.293442,1427.75119,2189.887449,2.440358,343183512.0,80.94,0.0,15482.433052062988
fat8_nodeFaults_fat,disabled,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_fat,disabled,New Simulator,6,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_fat,WINDOW2,Classic Simulator,0,4772.0,1932.0,15.080591,26.614656,43.151691,2.214057,9706956.0,1.85,3.15,581.8322830200195
fat8_nodeFaults_fat,WINDOW2,New Simulator,0,6500.0,2508.0,504.991491,1019.298695,1544.157862,2.134263,168342818.0,60.17,75.11,9658.292579650879
fat8_nodeFaults_fat,WINDOW2,New Simulator,1,5099.0,2041.0,834.741287,1552.165726,2440.419865,2.910831,269483004.0,96.16,181.88,13053.194343566895
fat8_nodeFaults_fat,WINDOW2,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_fat,WINDOW2,New Simulator,6,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_fat,WINDOW2_CONV,Classic Simulator,0,4772.0,1932.0,15.054674,26.668084,43.174051,2.235094,9706956.0,1.84,3.19,581.8322830200195
fat8_nodeFaults_fat,WINDOW2_CONV,New Simulator,0,6500.0,2508.0,503.276327,1017.029851,1540.124768,2.145974,168342818.0,59.78,75.25,9658.292579650879
fat8_nodeFaults_fat,WINDOW2_CONV,New Simulator,1,5099.0,2041.0,734.945029,1688.601955,2460.199034,2.14938,283834950.0,126.88,182.31,13491.547035217285
fat8_nodeFaults_fat,WINDOW2_CONV,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_fat,WINDOW2_CONV,New Simulator,6,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_fat,WINDOW3,Classic Simulator,0,4772.0,1932.0,15.020997,26.557155,43.031779,2.218802,9706956.0,1.86,3.22,581.8322830200195
fat8_nodeFaults_fat,WINDOW3,New Simulator,0,6500.0,2508.0,504.398387,1017.834254,1542.127177,2.135266,168342818.0,59.87,75.9,9658.292579650879
fat8_nodeFaults_fat,WINDOW3,New Simulator,1,5099.0,2041.0,715.142501,1703.210653,2454.948627,2.146257,283834950.0,127.5,182.65,13491.609535217285
fat8_nodeFaults_fat,WINDOW3,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_fat,WINDOW3,New Simulator,6,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_fat,WINDOW3_CONV,Classic Simulator,0,4772.0,1932.0,15.02537,26.571386,43.044704,2.229003,9706956.0,1.86,3.23,581.8322830200195
fat8_nodeFaults_fat,WINDOW3_CONV,New Simulator,0,6500.0,2508.0,502.939695,1017.260374,1540.059322,2.150482,168342818.0,59.92,75.4,9658.292579650879
fat8_nodeFaults_fat,WINDOW3_CONV,New Simulator,1,5099.0,2041.0,739.079441,1703.171307,2479.013139,2.158899,283834950.0,127.35,184.66,13491.609535217285
fat8_nodeFaults_fat,WINDOW3_CONV,New Simulator,3,0,0,0,0,0,0,0,0,0,0
fat8_nodeFaults_fat,WINDOW3_CONV,New Simulator,6,0,0,0,0,0,0,0,0,0,0
