benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
sp8_nodeFaults,disabled,Classic Simulator,0,8228.0,3084.0,55.803057,100.220226,159.258955,16.225941,101188220.0,0.19,0.0,7458.7666091918945
sp8_nodeFaults,disabled,New Simulator,0,13892.0,4972.0,147.769244,284.600922,436.33569,11.9238,245367892.0,0.17,0.0,12251.637092590332
sp8_nodeFaults,disabled,New Simulator,1,9761.0,3595.0,215.919196,584.164158,805.144096,42.905835,401062438.0,0.18,0.0,17495.222328186035
sp8_nodeFaults,disabled,New Simulator,3,15032.0,5352.0,409.592663,1136.250441,1549.280668,24.785338,842363060.0,0.23,0.0,32192.411994934082
sp8_nodeFaults,disabled,New Simulator,6,16385.0,5803.0,326.29613,800.517205,1130.015331,20.005461,580941592.0,0.2,0.0,23451.83539581299
sp8_nodeFaults,WINDOW2,Classic Simulator,0,8228.0,3084.0,64.967042,127.005668,196.122355,11.254395,41338878.0,11.16,26.82,2409.1748428344727
sp8_nodeFaults,WINDOW2,New Simulator,0,13892.0,4972.0,190.848584,370.921389,566.057676,12.122506,54557426.0,28.19,68.12,3891.889503479004
sp8_nodeFaults,WINDOW2,New Simulator,1,9761.0,3595.0,227.412736,693.516718,924.591851,9.047569,129692822.0,45.65,113.64,8466.02091217041
sp8_nodeFaults,WINDOW2,New Simulator,3,15032.0,5352.0,493.230825,1393.541535,1891.618231,12.045097,212441096.0,95.15,219.23,11305.792182922363
sp8_nodeFaults,WINDOW2,New Simulator,6,16385.0,5803.0,377.000896,1027.780116,1419.499702,5.865839,125555766.0,70.29,165.26,8385.66007232666
sp8_nodeFaults,WINDOW2_CONV,Classic Simulator,0,8228.0,3084.0,64.557443,126.133241,194.813099,10.699566,41338878.0,11.13,26.66,2409.1748428344727
sp8_nodeFaults,WINDOW2_CONV,New Simulator,0,13892.0,4972.0,190.025191,370.09029,564.403332,12.045761,54557426.0,28.08,67.98,3891.889503479004
sp8_nodeFaults,WINDOW2_CONV,New Simulator,1,9761.0,3595.0,225.324334,689.323131,918.262568,8.929505,129692822.0,45.76,112.93,8466.02091217041
sp8_nodeFaults,WINDOW2_CONV,New Simulator,3,15032.0,5352.0,491.887336,1388.587891,1885.317377,12.015706,212441096.0,95.02,219.01,11305.792182922363
sp8_nodeFaults,WINDOW2_CONV,New Simulator,6,16385.0,5803.0,376.390492,1024.747307,1415.814623,5.843947,125555766.0,69.29,163.73,8385.66007232666
sp8_nodeFaults,WINDOW3,Classic Simulator,0,8228.0,3084.0,64.768155,126.625168,195.540609,10.804989,41338878.0,11.16,26.72,2409.1748428344727
sp8_nodeFaults,WINDOW3,New Simulator,0,13892.0,4972.0,189.988816,369.500702,563.796478,11.898971,54557426.0,28.04,67.6,3891.889503479004
sp8_nodeFaults,WINDOW3,New Simulator,1,9761.0,3595.0,225.903814,690.588817,920.11612,8.967951,129692822.0,45.62,113.47,8466.02091217041
sp8_nodeFaults,WINDOW3,New Simulator,3,15032.0,5352.0,489.237744,1384.381221,1878.438691,11.915724,212441096.0,95.09,218.95,11305.792182922363
sp8_nodeFaults,WINDOW3,New Simulator,6,16385.0,5803.0,377.009117,1027.609037,1419.349179,5.846398,125555766.0,69.73,164.31,8385.66007232666
